Id,Name,Occupancy,Effective Rent,Effective RPSF,Annual Rent Change,Asking Rent,Concessions,Units,Avg Sq Ft,Class,Age,Stories,City,Address,State,Zip
128459,310 at NuLu,0.902,1161,1.784,0.099,1166,0.4%,173,660,A,2015,4,Louisville,310 S Hancock St,KY,40202
152598,800 Tower City Apartments,0.64,1346,1.471,0.083,1447,6.7%,286,940,,1963,29,Louisville,800 S 4th St,KY,40203
130862,Academy Park,0.987,1072,0.882,0.114,1072,0.0%,154,1210,B,2017,3,New Albany,718 Academy Dr,IN,47150
105585,AddisonPark Apartment Homes,0.993,775,0.861,0.042,775,0.0%,292,949,C,1972,3,Louisville,2153 Goldsmith Ln,KY,40218
148695,AMP Apartments,0.925,1049,1.413,0.023,1049,0.0%,93,760,A,2015,4,Louisville,2030 Frankfort Ave,KY,40206
130861,Apex on Preston,0.949,1134,1.167,0.128,1134,0.0%,312,976,A,2015,3,Louisville,11602 Apex View Dr,KY,40229
195410,Applegate Farms,1,783,0.843,-0.006,783,0.0%,192,950,B,2014,3,Louisville,5503 Fernfield Drive,KY,40219
107572,Arbor Place,1,682,0.659,0.061,682,0.0%,176,1040,C,2006,2,New Albany,200 Arbor Pl,IN,47150
196511,Ashby Green I,0.972,983,0.912,0.095,983,0.0%,144,1080,B,2014,2,Louisville,7616 Ashby Ln,KY,40272
8170,Ashgrove,0.983,764,1.232,0.087,764,0.0%,60,654,B,1984,2,Louisville,7701 Hogans Run,KY,40228
107476,Ashton Brook,0.96,983,1.02,0.041,983,0.0%,274,970,B,1978,2,Louisville,1634 Crossridge Ln,KY,40222
40357,Aspenwood,0.98,1150,1.137,0.155,1150,0.0%,98,1016,A,2001,2,Louisville,3300 Aspen Valley Cir,KY,40241
108548,Auburn Place Town & Garden Homes,1,808,0.698,0.035,808,0.0%,88,1161,C,1967,2,Louisville,7503 3rd Street Rd,KY,40214
196947,Austin Park,0.991,823,0.769,0.032,823,0.0%,216,1074,C,2006,2,Louisville,201 Pheasant Ave,KY,40118
108418,Autumn Ridge,1,790,0.738,0.031,790,0.0%,104,1073,C,1997,2,Jeffersonville,3250 Autumn Ridge Ct,IN,47130
151561,Axis on Lexington,0.92,1406,1.606,0.028,1406,0.0%,299,894,A,2017,5,Louisville,303 Axis Dr,KY,40206
164875,Baptist Towers,0.985,594,1.342,0.004,594,0.0%,198,447,B,1971,18,Louisville,1014 S 2nd St,KY,40203
107465,Bardstown Forest,0.98,771,1.041,-0.017,771,0.0%,248,763,B,1981,2,Louisville,2041 Shady Grove Way,KY,40218
38237,Beech Grove,0.901,759,1.031,0.045,774,2.0%,182,772,B,1972,2,Jeffersonville,3014 Beech Grove Ct,IN,47130
108414,Beverly Manor,0.964,600,1,0.043,600,0.0%,28,600,C,1986,2,Jeffersonville,310 W Maple St,IN,47130
187955,Blackiston Park Place Apartments,0.979,781,0.755,0.042,781,0.0%,48,1050,C,2005,2,Clarksville,1615 Blackiston Mill Rd,IN,47129
108198,Blankenbaker Crossings,0.949,1067,1.074,0.038,1067,0.0%,236,1004,A,2006,3,Louisville,2515 Shining Water Dr,KY,40299
108450,Bonaventure Place,0.957,770,0.889,0.041,770,0.0%,94,870,B,2000,2,Louisville,3511 Bonaventure Blvd,KY,40219
108375,Boulder Creek,0.978,878,0.98,0.089,878,0.0%,402,906,B,1989,3,Louisville,10400 Pavilion Way,KY,40299
158806,Bradford Mills Lofts,0.959,1144,1.439,-0.013,1144,0.0%,146,801,A,2018,4,Louisville,1124 Reutlinger Ave,KY,40204
107590,Brookridge Village,1,885,0.779,0.031,885,0.0%,330,1150,C,2000,2,Louisville,9510 Ridgeside Dr,KY,40291
13605,Brookside,0.911,904,1.253,0.107,904,0.0%,224,732,A,1987,2,Louisville,8117 Copper Creek Dr,KY,40222
40404,Canter Chase,0.996,995,1.099,0.119,995,0.0%,249,914,A,1987,2,Louisville,1200 Canterchase Dr,KY,40242
107151,Cardinal Hill Gardens,0.992,605,0.805,0.028,605,0.0%,132,762,C,1972,3,Louisville,7329 St Andrews Church Rd,KY,40214
190624,Cardinal Village,0.936,769,1.337,0.012,769,0.0%,78,575,B,1970,3,Louisville,1800 S 2nd St,KY,40208
109863,Carpenters,1,661,0.936,0.145,661,0.0%,162,724,C,1978,2,Louisville,3524 Georgetown Cir,KY,40215
204934,Carriage House East,1,566,0.796,0.027,566,0.0%,52,723,C,1986,2,Louisville,3010 Hikes Ln,KY,40220
108426,Carriage House North,0.946,726,0.897,0.014,726,0.0%,92,810,B,1969,2,Louisville,126 Royer Ct,KY,40206
107584,Cedar Springs I & II,0.92,809,0.823,0.028,809,0.0%,510,1002,C,1990,2,Louisville,9000 Sprucedale Way,KY,40291
8167,Cedargate,1,591,1.034,0.042,591,0.0%,60,605,C,1984,1,Shelbyville,310 Midland Blvd,KY,40065
107471,Chamberlain Oaks,0.978,751,0.778,-0.006,751,0.0%,180,989,C,1963,2,Louisville,71 Charter Oaks Dr,KY,40241
107569,Charlestown Crossing,0.99,840,0.738,0.063,840,0.0%,208,1137,C,2000,2,New Albany,5000 Charlestown Crossing Way,IN,47150
107370,Chatsworth Park,1,666,0.631,0.007,666,0.0%,153,1056,C,1979,2,Louisville,122 N Peterson Ave,KY,40206
198549,Cherry Springs,0.95,975,0.886,0.026,975,0.0%,60,1100,B,1986,2,Louisville,4549 Taylorsville Rd,KY,40220
108469,Christopher Crossing,0.976,675,0.806,0.023,675,0.0%,84,837,C,1996,2,Jeffersonville,3401 Prestwick Square Dr,IN,47130
126242,Claibourne Crossing,0.996,1295,1.097,-0.106,1295,0.0%,242,1191,A,2014,3,Louisville,14601 Pulpit Dr,KY,40245
121313,Claysburg Two Towers,0.917,800,1.231,-0.011,800,0.0%,228,650,A,1979,12,Jeffersonville,1306 Wall St,IN,47130
108502,Clearwater Farms,0.981,950,0.894,0.009,950,0.0%,472,1088,B,2008,2,Louisville,5401 Lowerfield Dr,KY,40219
160348,Colonial Oaks,0.88,785,0.94,0.028,819,4.2%,192,834,B,1970,2,Louisville,5011 Southside Dr,KY,40214
108421,Colonial Village,1,840,0.894,0.128,840,0.0%,100,956,B,1973,2,Clarksville,1830 Garrison Dr,IN,47129
162189,Cooper Creek Village,0.943,1111,0.89,0.014,1111,0.0%,123,1309,B,1998,3,Louisville,4807 Cooper Village Ter,KY,40219
107554,Country Acres,0.957,780,0.945,0.02,780,0.0%,184,825,B,1976,2,Louisville,102 Country Acres Unit 1,KY,40218
39693,Country Place,0.992,630,0.909,0.008,630,0.0%,120,693,C,1971,2,Louisville,9643 Lamborne Blvd,KY,40272
107469,Countrybrook Apartments,0.971,861,0.953,0.024,861,0.0%,240,913,B,1975,3,Louisville,1718 Bridgeview Ln,KY,40242
168615,Coventry Commons,1,671,0.775,0.191,671,0.0%,198,877,C,2009,2,Louisville,3406 Coventry Pl,KY,40216
107553,Derby Run,0.829,808,0.855,0.062,808,0.0%,199,952,C,1976,4,Louisville,6600 Outer Loop,KY,40228
40383,Devonshire,1,799,1.021,0.108,799,0.0%,416,800,B,1983,2,Louisville,8301 Doncaster Way,KY,40222
8699,District at Hurstbourne,0.951,1132,1.086,0.118,1132,0.0%,326,1057,A,1972,2,Louisville,9811 Vieux Carre Dr,KY,40223
107372,Douglas Park,0.95,688,0.822,0,688,0.0%,240,854,C,1972,3,Louisville,401 Douglas Park,KY,40214
107405,Eagles Eyrie Apartments,0.95,1137,0.809,0.199,1137,0.0%,80,1405,B,1974,3,Louisville,2424 Eagles Eyrie Ct,KY,40206
40406,East Chase,0.974,882,1.11,-0.012,882,0.0%,424,800,B,1986,2,Louisville,1700 Somerset Pl,KY,40220
158805,Echelon at Middletown,0.9,1293,1.209,0.051,1339,3.3%,210,1079,A,2018,2,Louisville,12202 Aiken Rd,KY,40223
109831,Eden Apartments,0.935,623,0.77,0.038,623,0.0%,124,809,C,1971,2,Louisville,800 Minette Cir,KY,40258
108407,El Patio Apartments,0.991,880,1.039,0.059,880,0.0%,117,857,B,1972,3,Louisville,2600 El Patio Pl,KY,40220
108608,Elevate at Nulu,0.928,821,1.027,0.044,821,0.0%,265,817,B,1986,3,Louisville,510 S Shelby St,KY,40202
107439,Eleven Oaks,0.932,765,0.834,0.045,765,0.0%,192,931,C,1980,2,Louisville,5546 Indian Oaks Cir,KY,40219
11172,Enclave Breckenridge,0.971,913,1.005,0.048,961,5.3%,376,912,B,1973,2,Louisville,7204 Churchill Park Dr,KY,40220
42534,Falcon Crest,1,737,0.8,0.028,737,0.0%,208,929,C,2005,2,Louisville,3800 Falcon Crest Dr,KY,40219
46297,Fenwick Place,0.954,1155,1.29,0.051,1155,0.0%,260,901,A,2000,2,Louisville,8601 Fenwick Creek Pl,KY,40220
190966,Flintlock Arms,0.7,550,0.86,0.078,550,0.0%,20,643,C,1969,1,Louisville,4150 Flintlock Dr,KY,40216
107581,Four Seasons,0.875,861,0.871,0.095,861,0.0%,176,1025,B,1975,2,Louisville,8010 Summerfield Cir,KY,40220
40967,Garden Gate,0.994,1040,1.042,-0.024,1065,2.4%,176,999,A,2006,2,Louisville,11803 Duane Point Cir,KY,40243
154100,Gentry of Hurstbourne,0.899,1449,1.452,0.072,1449,0.0%,159,1026,A,2017,4,Louisville,9500 Williamsburg Plaza,KY,40222
147474,Germantown Mill Lofts,1,1395,1.371,0.002,1395,0.0%,186,1025,A,2016,3,Louisville,946 Goss Ave,KY,40217
40407,Glenmary Village,0.978,1053,0.906,0.06,1053,0.0%,272,1170,B,2003,2,Louisville,9606 Clubview Dr,KY,40291
107587,Glenview Apartments,0.996,727,0.763,0.046,727,0.0%,235,983,C,1972,2,Clarksville,1201 Marlowe Dr,IN,47129
204233,Green Meadows,0.947,710,1.19,0.142,710,0.0%,152,602,B,1968,2,Louisville,3619 Green Meadows Dr,KY,40218
107404,Greenleaves,1,753,0.869,0.039,753,0.0%,90,878,C,1960,2,Louisville,700 Zorn Ave,KY,40206
109813,Greenwood Place,0.991,704,0.852,0.021,704,0.0%,344,844,C,1995,2,Louisville,7500 Greenwood Pl Cir,KY,40258
108485,Hallmark at Preston,1,690,0.857,0,690,0.0%,123,805,C,1971,2,Louisville,743 McCawley Rd,KY,40219
108514,Hampton Place,0.96,787,0.924,-0.007,787,0.0%,150,862,B,1974,2,Louisville,1549 W Madison St,KY,40203
202457,Hawthorne Place Apartments,1,683,0.707,0,683,0.0%,54,965,C,1997,2,Louisville,4700 Hawthorne Pl Dr,KY,40272
107215,Heather House,0.967,589,1.227,0.017,589,0.0%,60,480,B,1963,4,Louisville,2206 Heather Ln,KY,40218
32282,Heatherstone,1,946,1.083,0.018,946,0.0%,91,874,A,1983,2,Louisville,6408 Six Mile Ln,KY,40218
8130,Heathmoore,0.952,714,1.25,0.057,714,0.0%,62,604,B,1983,1,Louisville,11559 Ford Pl,KY,40241
107560,Hidden Creek,0.984,673,0.695,0.046,673,0.0%,184,969,C,1975,2,Jeffersonville,3130 Middle Rd,IN,47130
107548,High Park,1,750,0.75,0.071,750,0.0%,96,1000,C,1985,3,New Albany,100 High Park Dr,IN,47150
194576,Hikes Lane,0.969,761,1.298,0.227,761,0.0%,64,587,B,1969,2,Louisville,3619 Green Meadows Dr,KY,40218
197951,Hillview Woods,1,797,0.858,0.026,797,0.0%,256,952,C,1991,2,Louisville,4800 Birch Tree Ln,KY,40229
